Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Language
Charmed,1998,16+,7.1,75%,True,False,False,False,True,English
The Dragon Prince,2018,7+,8.4,100%,True,False,False,False,True,English
Locke & Key,2020,16+,7.4,67%,True,False,False,False,True,English
Alias Grace,2017,18+,7.8,99%,True,False,False,False,True,English
American Vandal,2017,16+,8.2,97%,True,False,False,False,True,English
Santa Clarita Diet,2017,18+,7.8,89%,True,False,False,False,True,English
Maniac,2018,16+,7.8,85%,True,False,False,False,True,English
Star Trek: Deep Space Nine,1993,7+,7.9,90%,True,True,True,False,True,English
The Dark Crystal: Age of Resistance,2019,7+,8.5,87%,True,False,False,False,True,English
Colony,2016,16+,7.4,92%,True,False,False,False,True,English
Wild Wild Country,2018,16+,8.2,98%,True,False,False,False,True,English
Rectify,2013,16+,8.3,95%,True,False,False,False,True,English
Pose,2018,16+,8.6,96%,True,False,False,False,True,English
Marvel's Luke Cage,2016,18+,7.3,87%,True,False,False,False,True,English
Hollywood,2020,18+,7.7,57%,True,False,False,False,True,English
Derry Girls,2018,16+,8.4,97%,True,False,False,False,True,English
Dark Matter,2015,18+,7.5,89%,True,False,False,False,True,English
On My Block,2018,16+,8.1,97%,True,False,False,False,True,English
Law & Order: Special Victims Unit,1999,16+,8.0,,True,True,True,False,True,English
Longmire,2012,16+,8.3,88%,True,False,False,False,True,English
The Tudors,2007,18+,8.1,69%,True,False,False,False,True,English
HAPPY!,2017,18+,8.2,84%,True,False,False,False,True,[]
The Stranger,2020,16+,7.3,89%,True,False,False,False,True,English
Call the Midwife,2012,7+,8.4,89%,True,False,False,False,True,English
Into the Night,2020,18+,7.2,83%,True,False,False,False,True,French
Mystery Science Theater 3000,1988,7+,8.5,80%,True,True,False,False,True,English
Resurrection: Ertugrul,2014,16+,7.7,,True,False,False,False,True,[]
The Inbetweeners,2008,18+,8.4,54%,True,False,False,False,True,English
Reign,2013,16+,7.5,86%,True,False,False,False,True,English
Extras,2005,16+,8.3,89%,True,False,True,False,True,English
The Kominsky Method,2018,18+,8.2,90%,True,False,False,False,True,English
The 4400,2004,7+,7.3,95%,True,False,False,False,True,English
The Borgias,2011,18+,7.9,85%,True,False,False,False,True,English
Marco Polo,2014,18+,8.0,67%,True,False,False,False,True,English
