Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Actors
Twin Peaks,1990,18+,8.8,89%,True,True,False,False,True,"['Kyle MacLachlan', 'Michael Horse', 'Richard Beymer', 'Kimmy Robertson', 'Harry Goaz', 'Mädchen Amick', 'Dana Ashbrook', 'Sherilyn Fenn', 'Lara Flynn Boyle', 'Michael Ontkean', 'Peggy Lipton', 'James Marshall', 'Warren Frost', 'Jack Nance', 'Eric Da Re', 'Everett McGill', 'Piper Laurie', 'Ray Wise', 'Russ Tamblyn', 'Sheryl Lee', 'Joan Chen', 'Grace Zabriskie', 'Sheryl Lee', 'Gary Hershberger', 'Mary Jo Deschanel', 'Kenneth Welsh']"
One-Punch Man,2015,16+,8.8,100%,True,True,False,False,True,"['Yûki Kaji', 'Kaito Ishikawa', 'Makoto Furukawa', 'Tessyo Genda', 'Wataru Hatano', 'Katsuyuki Konishi', 'Aoi Yūki', 'Hiroki Yasumoto', 'Kazuhiro Yamaji', 'Yuji Ueda', 'Yuji Ueda', 'Kenjiro Tsuda', 'Kousuke Toriumi', 'Minami Takayama', 'Takahiro Sakurai', 'Masaya Onosaka', 'Daisuke Namikawa', 'Yuichi Nakamura', 'Mamoru Miyano', 'Satoshi Hino', 'Saori Hayami']"
Outlander,2014,18+,8.4,91%,True,False,False,False,True,"['Caitriona Balfe', 'Sam Heughan', 'Duncan Lacroix', 'César Domboy', 'Richard Rankin', 'Sophie Skelton', 'Lauren Lyle', 'John Bell', ""Grant O'Rourke"", 'Graham McTavish', 'Stephen Walters', 'Tobias Menzies', 'Tobias Menzies', ""Caitlin O'Ryan"", 'David Berry', 'Edward Speleers', 'Andrew Gower', 'Maria Doyle Kennedy', 'Colin McFarlane', 'Nell Hudson', 'Steven Cree', 'Bill Paterson', 'Lotte Verbeek', 'Laura Donnelly', 'Gary Lewis', 'Stanley Weber', 'Rosie Day', 'Simon Callow', 'Dominique Pinon', 'Natalie Simpson', 'Douglas Henshall', 'Frances de la Tour', 'Braeden Clarke', 'Billy Boyd', 'Chris Larkin', 'Ned Dennehy', 'Gregory Odjig', 'Richard Dillane', 'Tantoo Cardinal', 'Carmen Moore', 'Tom Jackson', 'Graham McTavish', 'Clive Russell', 'Yan Tual', 'Sera-Lys McArthur']"
House of Cards,2013,18+,8.7,78%,True,False,False,False,True,"['Robin Wright', 'Michael Kelly', 'Kevin Spacey', 'Derek Cecil', 'Jayne Atkinson', 'Nathan Darrow', 'Mahershala Ali', 'Boris McGiver', 'Paul Sparks', 'Molly Parker', 'Neve Campbell', 'Jeremy Holm', 'Michel Gill', 'Larry Pine', 'Elizabeth Marvel', 'Rachel Brosnahan', 'Campbell Scott', 'Constance Zimmer', 'Sakina Jaffrey', 'Curtiss Cook', 'Kristen Connolly', 'Reed Birney', 'Sebastian Arcelus', 'Gerald McRaney', 'Jimmi Simpson', 'Reg E. Cathey', 'Joel Kinnaman', 'Dominique McElligott', 'Kate Mara', 'Elizabeth Norment', 'Damian Young', 'Lars Mikkelsen', 'Corey Stoll', 'Kate Lyn Sheil', 'Mozhan Marnò', 'Colm Feore', 'Patricia Clarkson', 'Sandrine Holt', 'Andrew Polk', 'Mercedes Herrero', 'Korey Jackson', 'Julian Gamble', 'Kim Dickens', 'James Martinez', 'Eisa Davis', 'Ben Daniels', 'Benito Martinez', 'Joanna Going', 'Wendy Moniz', 'Susan Pourfar', 'Diane Lane', 'Greg Kinnear', 'Kristen Sieh', 'Dan Ziskie', 'Kenneth Tigar', 'David Eichenbaum', 'Alexander Sokovikov', 'Cody Fern', 'Kathleen Chalfant', 'Tawny Cypress', 'Libby Woodbridge', 'Terry Chen', 'Shawn Doyle', 'Ellen Burstyn', 'Malcolm Madera', 'Athena Karkanis', 'Chuck Cooper', 'Karl Kenzler', 'Michael Warner', 'Sam Page', 'John Henry Cox', 'Gil Birmingham', 'Kelly AuCoin', 'Christina Bennett Lind', 'Jenna Stern', 'Lisa Gay Hamilton', 'Linda Marie Larson', 'Boris Kodjoe', 'Chance Kelly', 'Francie Swift', 'Kevin Kilner', 'Maryann Plunkett', 'Michael Siberry', 'Al Sapienza', 'Wass Stevens', 'Michael Park', 'Ian Blackman', 'Jeremy Bobb', 'Jonathan Hogan', 'Cicely Tyson', 'Marc Kudisch', 'Jefferson White', 'Lee Sellars', 'Daniel Sauli', 'Alok Tewari', 'Linda Powell', 'Chip Zien', 'Brian Keane', 'Ron Canada', 'Gregg Edelman', 'Lance E. Nichols', 'Murphy Guyer', 'David Andrews', 'William Hill', 'David Clennon', 'John C. Vennema', 'Farshad Farahat', 'Joy Lynn Jacobs', 'Sam Freed', 'Richard Toth', 'Willa Fitzgerald', 'Robert Newman', 'Darwin Shaw', 'T.J. Edwards', 'Angela Christian', 'Clark Carmichael', 'Brian Reddy', 'J.C. MacKenzie', 'Phyllis Somerville', 'Armand Schultz', 'John Scurti', 'Spencer Garrett', 'Deanna Dunagan', 'Malcolm Goodwin', 'Poorna Jagannathan', 'Waleed Zuaiter', 'John Doman', 'Christian Camargo', 'Annie Parisse', 'Sean Cullen', 'Doug Barron', 'Clarke Thorell', 'Mark Lotito', 'Gameela Wright', 'Chris Agos', 'Aaron Serotsky', 'John Ellison Conlee', 'Thomas Kopache', 'David Corenswet']"
Shameless,2011,18+,8.6,85%,True,False,False,False,True,"['William H. Macy', 'Steve Howey', 'Emma Kenney', 'Jeremy Allen White', 'Shanola Hampton', 'Ethan Cutkosky', 'Cameron Monaghan', 'Emmy Rossum', 'Christian Isaiah', 'Noel Fisher', 'Isidora Goreshter', 'Emma Greenwell', 'Laura Slade Wiggins', 'Kate Miner', 'Zach McGowan', 'Emily Bergl', 'Richard Flood', 'Jake McDorman']"
The Good Place,2016,16+,8.2,97%,True,True,False,False,True,"['Kristen Bell', 'Ted Danson', 'William Jackson Harper', 'Jameela Jamil', 'Manny Jacinto', ""D'Arcy Carden""]"
The Haunting,2018,18+,8.7,93%,True,False,False,False,True,[]
The Blacklist,2013,16+,8.0,91%,True,False,False,False,True,"['James Spader', 'Diego Klattenhoff', 'Harry Lennix', 'Amir Arison', 'Hisham Tawfiq', 'Megan Boone', 'Mozhan Marnò', 'Ryan Eggold', 'Parminder Nagra', 'Laura Sohn']"
The Flash,2014,7+,7.7,89%,True,False,False,False,True,"['Grant Gustin', 'Danielle Panabaker', 'Candice Patton', 'Carlos Valdés', 'Jesse L. Martin', 'Danielle Nicolet', 'Tom Cavanagh', 'Hartley Sawyer', 'Keiynan Lonsdale', 'Tom Cavanagh', 'Rick Cosnett', 'Jessica Parker Kennedy', 'Tom Cavanagh', 'Tom Cavanagh', 'Tom Cavanagh', 'Chris Klein', 'Neil Sandilands', 'Kayla Cherie Compton', 'Efrat Dor', 'LaMonica Garrett', 'Brandon McKnight', 'LaMonica Garrett']"
The Last Kingdom,2015,18+,8.4,91%,True,False,False,False,True,"['Alexander Dreymon', 'Eliza Butterworth', 'Ian Hart', 'Arnas Fedaravicius', 'Millie Brady', 'Emily Cox', 'Mark Rowley', 'David Dawson', 'Harry McEntire', 'James Northcote', 'Ewan Mitchell', 'Toby Regbo', 'Jeppe Beck Laursen', 'Adrian Bouchet', 'Cavan Clerkin', 'Timothy Innes', 'Adrian Schiller', 'Eva Birthistle', 'Tobias Santelmann', 'Julia Bache-Wiig', 'Simon Kunz', 'Magnus Bruun', 'Amelia Clarkson', 'Finn Elliot', 'Adrian Bower', 'Stefanie Martini', 'Peri Baumeister', 'Björn Bengtsson', 'Christian Hillborg', 'Thea Sofie Loch Næss', 'Kevin Eldon', 'Jamie Blackley', 'Joseph Millson', 'Brian Vernel', 'Simon Stenspil', 'Ola Rapace', 'Thomas W. Gabrielsson', 'Ruby Hartley', 'Ole Christoffer Ertvaag', 'Amy Wren', 'Gerard Kearns', 'Alexandre Willaume', 'Rune Temte', 'Thure Lindhardt', 'Steffan Rhodri', 'Nigel Lindsay', 'Richard Dillane', 'Dorian Lough', 'Eysteinn Sigurðarson', 'Charlie Murphy', 'David Schofield', 'Peter McDonald', 'Matthew Macfadyen']"
