Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Genres
"Love, Death & Robots",2019,18+,8.5,78%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Horror', 'Science-Fiction', 'Thriller']"
Marvel's Jessica Jones,2015,18+,8,83%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Action', 'Crime', 'Science-Fiction']"
New Girl,2011,16+,7.7,94%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Romance']"
The Good Wife,2009,16+,8.3,94%,TRUE,TRUE,TRUE,FALSE,TRUE,"['Drama', 'Crime', 'Legal']"
The Umbrella Academy,2019,16+,7.9,77%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Science-Fiction']"
Marvel's The Punisher,2017,18+,8.5,63%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Crime']"
Ash vs Evil Dead,2015,18+,8.4,99%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Action', 'Horror']"
Master of None,2015,18+,8.3,100%,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
Bodyguard,2018,18+,8.1,93%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Thriller']"
Schitt's Creek,2015,16+,8.4,50%,TRUE,FALSE,TRUE,FALSE,TRUE,['Comedy']
Narcos: Mexico,2018,18+,8.4,88%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Crime']"
The West Wing,1999,16+,8.8,75%,TRUE,FALSE,FALSE,FALSE,TRUE,['Drama']
Bates Motel,2013,18+,8.2,93%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Horror', 'Thriller']"
Atypical,2017,18+,8.3,87%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Family']"
Once Upon a Time,2011,7+,7.7,80%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Fantasy', 'Romance']"
Gomorrah,2014,18+,8.7,94%,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Making a Murderer,2015,16+,8.6,84%,TRUE,FALSE,FALSE,FALSE,TRUE,['Crime']
Death Note,2006,18+,9,,TRUE,TRUE,FALSE,FALSE,TRUE,"['Drama', 'Anime', 'Thriller', 'Mystery']"
Castlevania,2017,18+,8.2,93%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Adventure', 'Fantasy', 'Supernatural']"
Riverdale,2017,16+,7,86%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Mystery']"
Burn Notice,2007,7+,7.9,88%,TRUE,TRUE,TRUE,FALSE,TRUE,"['Drama', 'Action', 'Crime']"
Fauda,2015,16+,8.3,100%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Thriller']"
Russian Doll,2019,18+,7.9,96%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy']"
Our Planet,2019,7+,9.3,93%,TRUE,FALSE,FALSE,FALSE,TRUE,['Nature']
Big Mouth,2017,18+,8,100%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Comedy', 'Fantasy', 'Romance']"
American Horror Story,2011,18+,8,,TRUE,TRUE,TRUE,FALSE,TRUE,"['Drama', 'Horror', 'Thriller']"
