Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Decade,Actors,Producers,Genres,Language
Marvel's Daredevil,2015,18+,8.6,92%,True,False,False,False,True,2010,"['Charlie Cox', 'Deborah Ann Woll', 'Elden Henson', ""Vincent D'Onofrio"", 'Jay Ali', 'Jon Bernthal', 'Stephen Rider', 'Ayelet Zurer', 'Wilson Bethel', 'Toby Leonard Moore', 'Elodie Yung', 'Bob Gunton', 'Vondie Curtis-Hall', 'Joanne Whalley', 'Rosario Dawson']","['Douglas Petrie', 'Douglas Petrie', 'Mark Verheiden', 'Joe Quesada', 'Stan Lee', 'Alan Fine', 'Jeph Loeb', 'Marco Ramirez', 'Erik Oleson', 'Jim Dunn', 'Sam Ernst', 'Lauren Schmidt', 'Tom Lieber', 'Joe Pokaski', 'Drew Goddard', 'Dara Resnik Creasey', 'Jim Chory', 'Dan Buckley', 'Tamara Becher', 'Steven S. DeKnight', 'Daniel Hank', 'Karim Zreik', 'Karim Zreik', 'Michael Stricks', 'Cindy Holland', 'Kris Henigman', 'Allie Goss', 'Peter Friedlander', 'Alison Engel']","['Drama', 'Action', 'Crime']",English
The Witcher,2019,18+,8.3,67%,True,False,False,False,True,2010,"['Henry Cavill', 'Freya Allan', 'Anya Chalotra', 'Mimi Ndiweni', 'Eamon Farren', 'MyAnna Buring', 'Wilson Radjou-Pujalte', 'Joey Batey', 'Royce Pierreson', 'Anna Shaffer', 'Mahesh Jadu', 'Kim Bodnia']","['Jenny Klein', 'Alik Sakharov', 'Lauren Schmidt', 'Sean Daniel', 'Mike Ostrowski', 'Jason F. Brown', 'Tomasz Bagiński', 'Jaroslaw Sawko', 'Simon Emanuel', 'Piotr Sikora']","['Drama', 'Action', 'Fantasy']",English
Twin Peaks,1990,18+,8.8,89%,True,True,False,False,True,1990,"['Kyle MacLachlan', 'Michael Horse', 'Richard Beymer', 'Kimmy Robertson', 'Harry Goaz', 'Mädchen Amick', 'Dana Ashbrook', 'Sherilyn Fenn', 'Lara Flynn Boyle', 'Michael Ontkean', 'Peggy Lipton', 'James Marshall', 'Warren Frost', 'Jack Nance', 'Eric Da Re', 'Everett McGill', 'Piper Laurie', 'Ray Wise', 'Russ Tamblyn', 'Sheryl Lee', 'Joan Chen', 'Grace Zabriskie', 'Sheryl Lee', 'Gary Hershberger', 'Mary Jo Deschanel', 'Kenneth Welsh']","['David Lynch', 'Sabrina S. Sutherland', 'Mark Frost']","['Drama', 'Crime', 'Supernatural']",English
One-Punch Man,2015,16+,8.8,100%,True,True,False,False,True,2010,"['Yûki Kaji', 'Kaito Ishikawa', 'Makoto Furukawa', 'Tessyo Genda', 'Wataru Hatano', 'Katsuyuki Konishi', 'Aoi Yūki', 'Hiroki Yasumoto', 'Kazuhiro Yamaji', 'Yuji Ueda', 'Yuji Ueda', 'Kenjiro Tsuda', 'Kousuke Toriumi', 'Minami Takayama', 'Takahiro Sakurai', 'Masaya Onosaka', 'Daisuke Namikawa', 'Yuichi Nakamura', 'Mamoru Miyano', 'Satoshi Hino', 'Saori Hayami']",[],"['Comedy', 'Action', 'Anime']",Japanese
Outlander,2014,18+,8.4,91%,True,False,False,False,True,2010,"['Caitriona Balfe', 'Sam Heughan', 'Duncan Lacroix', 'César Domboy', 'Richard Rankin', 'Sophie Skelton', 'Lauren Lyle', 'John Bell', ""Grant O'Rourke"", 'Graham McTavish', 'Stephen Walters', 'Tobias Menzies', 'Tobias Menzies', ""Caitlin O'Ryan"", 'David Berry', 'Edward Speleers', 'Andrew Gower', 'Maria Doyle Kennedy', 'Colin McFarlane', 'Nell Hudson', 'Steven Cree', 'Bill Paterson', 'Lotte Verbeek', 'Laura Donnelly', 'Gary Lewis', 'Stanley Weber', 'Rosie Day', 'Simon Callow', 'Dominique Pinon', 'Natalie Simpson', 'Douglas Henshall', 'Frances de la Tour', 'Braeden Clarke', 'Billy Boyd', 'Chris Larkin', 'Ned Dennehy', 'Gregory Odjig', 'Richard Dillane', 'Tantoo Cardinal', 'Carmen Moore', 'Tom Jackson', 'Graham McTavish', 'Clive Russell', 'Yan Tual', 'Sera-Lys McArthur']","['Maril Davis', 'Ronald D. Moore', 'Andy Harries', 'Jim Kohlberg', 'Ira Steven Behr', 'Toni Graphia', 'Toni Graphia', 'Anne Kenney', 'Paulo De Oliveira', 'Matthew B. Roberts']","['Adventure', 'Romance', 'Science-Fiction']",English
House of Cards,2013,18+,8.7,78%,True,False,False,False,True,2010,"['Robin Wright', 'Michael Kelly', 'Kevin Spacey', 'Derek Cecil', 'Jayne Atkinson', 'Nathan Darrow', 'Mahershala Ali', 'Boris McGiver', 'Paul Sparks', 'Molly Parker', 'Neve Campbell', 'Jeremy Holm', 'Michel Gill', 'Larry Pine', 'Elizabeth Marvel', 'Rachel Brosnahan', 'Campbell Scott', 'Constance Zimmer', 'Sakina Jaffrey', 'Curtiss Cook', 'Kristen Connolly', 'Reed Birney', 'Sebastian Arcelus', 'Gerald McRaney', 'Jimmi Simpson', 'Reg E. Cathey', 'Joel Kinnaman', 'Dominique McElligott', 'Kate Mara', 'Elizabeth Norment', 'Damian Young', 'Lars Mikkelsen', 'Corey Stoll', 'Kate Lyn Sheil', 'Mozhan Marnò', 'Colm Feore', 'Patricia Clarkson', 'Sandrine Holt', 'Andrew Polk', 'Mercedes Herrero', 'Korey Jackson', 'Julian Gamble', 'Kim Dickens', 'James Martinez', 'Eisa Davis', 'Ben Daniels', 'Benito Martinez', 'Joanna Going', 'Wendy Moniz', 'Susan Pourfar', 'Diane Lane', 'Greg Kinnear', 'Kristen Sieh', 'Dan Ziskie', 'Kenneth Tigar', 'David Eichenbaum', 'Alexander Sokovikov', 'Cody Fern', 'Kathleen Chalfant', 'Tawny Cypress', 'Libby Woodbridge', 'Terry Chen', 'Shawn Doyle', 'Ellen Burstyn', 'Malcolm Madera', 'Athena Karkanis', 'Chuck Cooper', 'Karl Kenzler', 'Michael Warner', 'Sam Page', 'John Henry Cox', 'Gil Birmingham', 'Kelly AuCoin', 'Christina Bennett Lind', 'Jenna Stern', 'Lisa Gay Hamilton', 'Linda Marie Larson', 'Boris Kodjoe', 'Chance Kelly', 'Francie Swift', 'Kevin Kilner', 'Maryann Plunkett', 'Michael Siberry', 'Al Sapienza', 'Wass Stevens', 'Michael Park', 'Ian Blackman', 'Jeremy Bobb', 'Jonathan Hogan', 'Cicely Tyson', 'Marc Kudisch', 'Jefferson White', 'Lee Sellars', 'Daniel Sauli', 'Alok Tewari', 'Linda Powell', 'Chip Zien', 'Brian Keane', 'Ron Canada', 'Gregg Edelman', 'Lance E. Nichols', 'Murphy Guyer', 'David Andrews', 'William Hill', 'David Clennon', 'John C. Vennema', 'Farshad Farahat', 'Joy Lynn Jacobs', 'Sam Freed', 'Richard Toth', 'Willa Fitzgerald', 'Robert Newman', 'Darwin Shaw', 'T.J. Edwards', 'Angela Christian', 'Clark Carmichael', 'Brian Reddy', 'J.C. MacKenzie', 'Phyllis Somerville', 'Armand Schultz', 'John Scurti', 'Spencer Garrett', 'Deanna Dunagan', 'Malcolm Goodwin', 'Poorna Jagannathan', 'Waleed Zuaiter', 'John Doman', 'Christian Camargo', 'Annie Parisse', 'Sean Cullen', 'Doug Barron', 'Clarke Thorell', 'Mark Lotito', 'Gameela Wright', 'Chris Agos', 'Aaron Serotsky', 'John Ellison Conlee', 'Thomas Kopache', 'David Corenswet']","['Rick Cleveland', 'Dan Minahan', 'John David Coles', 'John Mankiewicz', 'John Mankiewicz', 'David Fincher', 'Melissa James Gibson', 'Kevin Spacey', 'Robin Wright', 'Beau Willimon', 'Eric Roth', 'Joshua Donen', 'Dana Brunetti', 'John Melfi', 'Andrew Davies', 'Robert Zotnowski', 'Sarah Treem', 'Michael Dobbs', 'David Manson', 'Frank Pugliese', 'Jason Horwitch', 'Hameed Shaukat', 'Joe Hipps', 'Amy J. Kaufman']","['Drama', 'Thriller']",English
Shameless,2011,18+,8.6,85%,True,False,False,False,True,2010,"['William H. Macy', 'Steve Howey', 'Emma Kenney', 'Jeremy Allen White', 'Shanola Hampton', 'Ethan Cutkosky', 'Cameron Monaghan', 'Emmy Rossum', 'Christian Isaiah', 'Noel Fisher', 'Isidora Goreshter', 'Emma Greenwell', 'Laura Slade Wiggins', 'Kate Miner', 'Zach McGowan', 'Emily Bergl', 'Richard Flood', 'Jake McDorman']","['Mark Mylod', 'Mark Mylod', 'Krista Vernoff', 'John Wells', 'Paul Abbott', 'Davey Holmes', 'Davey Holmes', 'Michael Hissrich', 'Etan Frankel', 'Christopher Chulack']","['Drama', 'Comedy', 'Family']",English
The Good Place,2016,16+,8.2,97%,True,True,False,False,True,2010,"['Kristen Bell', 'Ted Danson', 'William Jackson Harper', 'Jameela Jamil', 'Manny Jacinto', ""D'Arcy Carden""]","['David Miner', 'Michael Schur', 'Joe Mande', 'Dylan Morgan', 'Drew Goddard', 'Aisha Muharrar', 'Dave King', 'Morgan Sackett', 'Megan Amram', 'Jen Statsky', 'Josh Siegal']","['Comedy', 'Fantasy', 'Supernatural']",English
The Haunting,2018,18+,8.7,93%,True,False,False,False,True,2010,[],[],[],[]
The Blacklist,2013,16+,8.0,91%,True,False,False,False,True,2010,"['James Spader', 'Diego Klattenhoff', 'Harry Lennix', 'Amir Arison', 'Hisham Tawfiq', 'Megan Boone', 'Mozhan Marnò', 'Ryan Eggold', 'Parminder Nagra', 'Laura Sohn']","['Michael W. Watkins', 'Daniel Cerone', 'Daniel Knauf', 'Daniel Knauf', 'J.R. Orci', 'J.R. Orci', 'Vincent Angell', 'John C. Kelley', 'Carla Kettner', 'James Spader', 'James Spader', 'Jon Bokenkamp', 'John Fox', 'John Davis', 'John Eisendrath', 'Joe Carnahan', 'Elizabeth Benjamin', 'Lukas Reiter', 'Lukas Reiter', 'Jace Alexander', 'Wendy West', 'Patrick Massett', 'John Zinman', 'Gerrit Van Der Meer', 'Richard Heus', 'Jim Campolongo', 'Dawn DeNoon', 'Sean Hennen', 'Jonathan Filley', 'Jonathan Shapiro', 'Mike Ostrowski', 'Bill Roe', 'Laura A. Benson', 'Laura A. Benson']","['Drama', 'Crime', 'Thriller']",English
