Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Decade,Actors,Producers,Genres,Language
Touch,2012,7+,7.4,68%,False,True,False,False,True,2010,"['Kiefer Sutherland', 'David Mazouz', 'Maria Bello', 'Lukas Haas', 'Saxon Sharbino', 'Saïd Taghmaoui', 'Gugu Mbatha-Raw', 'Danny Glover']","['Carol Barbee', 'Katherine Pope', 'Peter Chernin', 'Nelson McCormick', 'Chris Levinson', 'Tim Kring', 'Rob Fresco', 'Kiefer Sutherland', ""Barry O'Brien"", 'Suzan Bymel', 'Francis Lawrence']","['Drama', 'Science-Fiction', 'Mystery']",English
Sesame Street,1969,all,8.1,,False,True,True,False,True,1960,"['Jerry Nelson', 'Richard Hunt', 'Martin P. Robinson', 'Michael Earl Davis', 'Bryant Young', 'Roscoe Orman', 'Hal Miller', 'Matt Robinson', 'Garrett Saunders', 'Kevin Clash', 'Ryan Dillon', 'Richard Hunt', 'Brian Muehl', 'Jerry Nelson', 'Martin P. Robinson', 'Michael Earl Davis', 'Dick Maitland', 'David Rudman', 'Joey Mazzarino', 'Jerry Nelson', 'Richard Hunt', 'Kevin Clash', 'Miles Orman', 'Imani Patterson', 'Olamide Faison', 'Steve Whitmire', 'Jim Henson', 'Billy Barkhurst', 'Toby Towson', 'Brian Muehl', 'Bruce Connelly', 'Frank Oz', 'Caroll Spinney', 'Jim Henson', 'Kevin Clash', 'Brian Muehl', 'Camilla Bonora', 'Jim Henson', 'Jerry Nelson', 'Martin P. Robinson', 'Leonard Jackson', 'David Langton Smyrl', 'Desiree Casado', 'Gabriela Rose Reagan', 'Frank Oz', 'Eric Jacobson', 'Jerry Nelson', 'Matt Vogel', 'Bud Collyer', 'Lennie Weinrib', 'Caroll Spinney', 'Jerry Nelson', 'Caroll Spinney', 'Matt Vogel', 'Frank Oz', 'David Rudman', 'Jerry Nelson', 'Matt Vogel', 'Kevin Clash', 'Brian Muehl', 'Kevin Clash', 'Richard Hunt', 'Jennifer Barnhart', 'Richard Hunt', 'Frank Oz', 'Eric Jacobson', 'Brian Muehl', 'Pam Arciero', 'Eric Jacobson', 'Jim Henson', 'David Rudman', 'Richard Hunt', 'Steve Whitmire', 'Jim Henson', 'Jim Henson', 'Christopher Cerf', 'Fran Brill', ""Stephanie D'Abruzzo"", 'David Rudman', 'Richard Hunt', 'Frank Oz', 'Eric Jacobson', 'Martin P. Robinson', 'Brian Muehl', 'Frank Oz', 'David Rudman', 'Jim Henson', 'Martin P. Robinson', 'Peter Linz', 'Richard Hunt', 'Jennifer Barnhart', 'Fran Brill', 'Rachael McDaniel', 'Syvae McDaniel', 'Alison Bartlett', 'Gabriel Velez', 'Linda Bove', 'Bill McCutcheon', 'Bob McGrath', 'Gabenario Marshia', 'Jim Thurman', 'Loretta Long', 'Northern Calloway', 'Savion Glover', 'Sonia Manzano', 'Will Lee', 'Alaina Reed-Hall', 'Alan Muraoka', 'Alexis Cruz', 'Angel Jemmott', 'Ismael Cruz Córdova', 'Carlo Alban', 'Chris Knowings', 'Buffy Sainte-Marie', 'Leslie Carrara-Rudolph', 'Joan Gerber', 'Bud Lucky', 'Olan Soule', 'Joey Mazzarino', 'Maddie Page', 'Michele Mariana', 'Jim Martin', 'Damaris Carbaugh', 'Jeremy Redleaf', 'Jim Thurman', 'Jessica Stone', 'Jim Thurman', 'Jim Thurman', 'Jim Henson', 'Andrea Martin', 'John Lasseter', 'John Candy', 'Casey Kasem', 'Jessica Stone', 'Tyler Bunch', 'Tyler Bunch', 'Jim Thurman', 'Leslie Carrara-Rudolph', 'Ruth Buzzi', 'Jeff Hale', 'Leslie Carrara-Rudolph', 'Tee Collins', 'Leslie Carrara-Rudolph', 'Judy Sladky', 'Frank Oz', 'Jerry Nelson', 'Richard Hunt', 'Fran Brill', 'David Rudman', 'Kevin Clash', 'Lisa Buckley', 'Jerry Nelson', 'Jeff Moss', 'Jim Henson', 'Caroll Spinney', 'Martin P. Robinson', 'Brian Muehl', 'Joey Mazzarino', 'Camilla Bonora', ""Stephanie D'Abruzzo"", 'Karen Prell', 'Richard Hunt', 'Martin P. Robinson', 'Steve Whitmire', ""Stephanie D'Abruzzo"", 'Jerry Nelson', 'David Rudman', 'Martin P. Robinson', 'Richard Hunt', 'Jerry Nelson', 'Jerry Nelson', 'Frank Oz', 'Jerry Nelson', 'Jerry Nelson', 'Kevin Clash', 'Joey Mazzarino', 'Joey Mazzarino', 'Joey Mazzarino', 'Fran Brill', 'Kevin Clash', 'Frank Oz', 'Fran Brill', ""Stephanie D'Abruzzo"", 'Jennifer Barnhart', 'Kevin Clash', 'Jerry Nelson', 'Joey Mazzarino', 'Joey Mazzarino', 'Kevin Clash', 'Caroll Spinney', 'Carmen Osbahr', 'Joey Mazzarino', 'John Tartaglia', 'Frank Oz', 'Frank Oz', 'Matt Robinson', 'Loretta Long', 'Carmen Osbahr', 'Fran Brill', 'Camilla Bonora', 'Jerry Nelson', 'Jerry Nelson', 'Alice Dinnean', 'Jerry Nelson', 'Joey Mazzarino', 'Richard Hunt', 'Jerry Nelson', 'Brandon Maggart', 'Jim Catusi', 'Annette Calud', 'Dakota Starblanket Wolfchild', 'Lily Tomlin', 'Lily Tomlin', 'Gedde Watanabe', 'Jou Jou Papailler', 'Kyla Taub', 'Jason Kingsley', 'Eugene Byrd', 'Jada Rowland', 'Joey Calvan', 'John Williams III', 'Alan Arkin', 'Barbara Dana', 'Nicole Sullivan', 'Stephen Colbert', 'Nitya Vidyasagar', 'Lillias White', 'Emilio Delgado', 'Jaime Sanchez', 'Ward Saxton', 'Charlotte Rae', ""Chester O'Brien"", 'Bill Irwin', 'Michael Jeter', 'Kristin Chenoweth', 'Sarah Jones', 'Suki Lopez', 'Paul Benedict', 'Tina Fey', 'Raul Julia', 'Ruth Buzzi', 'Holly Robinson Peete', 'Sheldon Wolfchild', 'Tarah Lynne Schaeffer', 'Larry Block', 'Roscoe Orman', 'Loretta Tupper', 'Andrea Martin', 'Paul Price', 'Joe Ponazecki', 'Kermit Love']",[],['Children'],English
Hell's Kitchen,2005,16+,7.1,,False,True,True,False,True,2000,"['Gordon Ramsay', 'Jason Thompson']","['Daniel Soiseth', 'Kent Weed', 'Natalka Znak', 'Gordon Ramsay', 'Kenny Rosen', 'Arthur Smith', 'Paul Jackson']",['Food'],English
Shark Tank,2009,7+,7.6,,False,True,False,False,True,2000,"[""Kevin O'Leary"", 'Phil Crowley', 'Robert Herjavec', 'Mark Cuban', 'Daymond John', 'Lori Greiner', 'Barbara Corcoran', 'Kevin Harrington', 'Rohan Oza', 'Alex Rodriguez', 'Sara Blakely', 'Bethenny Frankel', 'Charles Barkley']","['Mark Burnett', 'Clay Newbill', 'Phil Gurin', 'Jim Roush', 'Yun Lingner', 'David Eilenberg']",[],English
The Baker and the Beauty,2020,7+,7.1,86%,False,True,False,False,True,2020,"['Victor Rasuk', 'Nathalie Kelley', 'Carlos Gómez', 'Dan Bucatinsky', 'Lisa Vidal', 'David Del Rio', 'Belissa Escobedo', 'Michelle Veintimilla']","['Avi Nir', 'Steve Pearlman', 'Peter Traugott', 'Rachel Kaplan', 'Terrence Coli', 'David Frankel', 'Valentina Garza', 'Elad Kuperman', 'Dean Georgaris', 'Assi Azar', 'Alon Shtruzman', 'James Chory']","['Drama', 'Comedy', 'Romance']",English
The Amazing Race,2001,7+,7.6,,False,True,True,False,True,2000,['Phil Keoghan'],"['Joubin Mortazavi', 'Hayma Washington', 'Jonathan Littman', 'Jerry Bruckheimer', 'Jon Kroll', 'Scott Einziger', 'Amy Chacon', 'Evan Weinstein']","['Action', 'Adventure', 'Family']",English
Daria,1997,16+,8.0,,False,True,False,False,True,1990,"['Tracy Grandstaff', 'Wendy Hoopes', 'Wendy Hoopes', 'Wendy Hoopes', 'Julian Rebolledo', 'Alvaro J. Gonzalez', 'Nora Laudani', 'Sarah Drew', 'Sarah Drew', 'Amir Williams', 'Ashley Paige Albert', 'Danielle Accarino', 'Delon Ferdinand', 'Evan Farmer', 'Geoffrey Arend', 'Jessica Cydnee Jackson', 'Katie Kingston', 'Kevin Daniels', 'Paul Williams', 'Russell Hankin', 'Steven Huppert', 'Susie Lewis Lynn', 'Tim Novikoff', 'Willy Schwenz', 'Marc Thompson', 'Marc Thompson', 'Marc Thompson', 'Marc Thompson', 'Janie Martz', 'Janie Martz', 'Janie Martz', 'Janie Martz', 'Janie Martz', 'Ashley Paige Albert']","['Glenn Eichler', 'Abby Terkuhle']",['Comedy'],English
War and Peace,2016,16+,8.2,,False,True,False,False,True,2010,[],[],[],[]
SIX,2017,18+,7.3,62%,False,True,False,False,True,2010,"['Dominic Adams', 'Juan Pablo Raba', 'Barry Sloane', 'Kyle Schmid', 'Nadine Velazquez', 'Brianne Davis', 'Jaylen Moore', 'Edwin Hodge', 'Walton Goggins', 'Olivia Munn', 'Eric Ladin', 'Nikolai Nikolaeff']","['Lesli Linka Glatter', 'George W. Perkins', 'George W. Perkins', 'Nicolas Chartier', 'Meryl Poster', 'Alfredo Barrios, Jr.', 'Harvey Weinstein', 'Bob Weinstein', 'Bruce C. McKenna', 'David Broyles', 'William Broyles', 'David C. Glasser', 'Barry Jossen']","['Drama', 'Action', 'War']",English
Legit,2013,18+,8.2,96%,False,True,False,False,True,2010,"['Jim Jefferies', 'Dan Bakkedahl', 'DJ Qualls']","['Rick Cleveland', ""Peter O'Fallon"", 'James Scura', 'Paul F. Bernard', 'Jim Jefferies', 'Lisa Blum']",['Comedy'],English
Star vs. the Forces of Evil,2015,7+,8.0,,False,True,False,True,True,2010,"['Rider Strong', 'Eden Sher', 'Adam McArthur', 'Alan Tudyk', 'Alan Tudyk', 'Artt Butler', 'Corey Burton', 'Dee Dee Rescher', 'Grey Griffin', 'Grey Griffin', 'Jeffrey Tambor', 'Jenny Slate', 'Jessica Walter', 'Matt Chapman', 'Michael C. Hall', 'Nate Torrence', 'Nia Vardalos']","['Jordana Arkin', 'Daron Nefcy']","['Comedy', 'Adventure', 'Children']",English
The Brady Bunch,1969,all,6.7,77%,False,True,False,False,True,1960,"['Ann B. Davis', 'Barry Williams', 'Florence Henderson', 'Christopher Knight', 'Mike Lookinland', 'Maureen McCormick', 'Eve Plumb', 'Susan Olsen', 'Robert Reed']",['Sherwood Schwartz'],"['Comedy', 'Family']",English
Chicago Med,2015,16+,7.5,,False,True,False,False,True,2010,"['Oliver Platt', 'Yaya DaCosta', 'Nick Gehlfuss', 'Brian Tee', 'Torrey DeVitto', 'Marlyne Barrett', 'S. Epatha Merkerson', 'Colin Donnell', 'Rachel DiPillo', 'Norma Kuhling', 'Dominic Rains']","['Michael Waxman', 'Michael Waxman', 'Darin Goldberg', 'Shelley Meals', 'Dick Wolf', 'Matt Olmstead', 'Derek Haas', 'Michael Brandt', 'Danielle Gelber', 'Peter Jankowski', 'Arthur W. Forney', 'Michael Pressman', 'Diane Frolov', 'Andrew Schneider', 'Melissa R. Byer', 'Treena Hancock', 'Eli Talbert', 'Stephen Hootstein', 'Stephen Hootstein', 'Jeffrey Drayer', 'David Brownfield']","['Drama', 'Medical']",English
Ghost Adventures,2008,7+,7.5,,False,True,False,False,True,2000,"['Zak Bagans', 'Aaron Goodwin', 'Nick Groff', 'Billy Tolley', 'Jay Wasley']",[],['Supernatural'],English
Body of Proof,2011,16+,7.1,76%,False,True,False,False,True,2010,"['Dana Delany', 'Jeri Ryan', 'Geoffrey Arend', 'Windell Middlebrooks', 'Mark Valley', 'Mary Mouser', 'Elyes Gabel', 'Nicholas Bishop', 'John Carroll Lynch', 'Sonja Sohn']","['Diane Ademu-John', 'Richard Heus', 'Corey Miller', 'Evan Katz', 'Matthew Gross', 'Christopher Murphey', 'Krystal Houghton Ziv']","['Drama', 'Crime']",English
Roots,2016,16+,7.9,96%,False,True,False,False,True,2010,"['Olivia Cole', 'Ben Vereen', 'LeVar Burton', 'Louis Gossett, Jr.', 'Vic Morrow', 'Robert Reed', 'John Amos', 'Madge Sinclair', 'Lynda Day George', 'Leslie Uggams', 'Carolyn Jones', 'Sandy Duncan', 'Chuck Connors', 'Edward Asner', 'Ian McShane']",[],"['Drama', 'History']",English
Ghost Whisperer,2005,7+,6.3,,False,True,True,False,True,2000,"['Jennifer Love Hewitt', 'David Conrad', 'Camryn Manheim', 'Christoph Sanders', 'Jamie Kennedy', 'Jay Mohr', 'Aisha Tyler']","['Jim Kouf', 'John Gray', 'P.K. Simonds', 'Jed Seidel', 'Kim Moses', 'Ian Sander', 'James Van Praagh']","['Drama', 'Fantasy']",English
Digimon Adventure,1999,7+,7.3,,False,True,False,False,True,1990,[],[],[],[]
Whitechapel,2009,7+,7.9,75%,False,True,False,False,True,2000,"['Phil Davis', 'Rupert Penry-Jones', 'Steve Pemberton']",['Sally Woodward Gentle'],"['Drama', 'Crime', 'Mystery']",English
Tyrant,2014,18+,7.8,60%,False,True,False,False,True,2010,"['Adam Rayner', 'Moran Atias', 'Noah Silver', 'Jennifer Finnigan', 'Alexander Karim', 'Cameron Gharaee', 'Ashraf Barhom', 'Melia Kreiling', 'Sibylla Deen', 'Anne Winters', 'Fares Fares', 'Alice Krige', 'Justin Kirk', 'Salim Daw', 'Chris Noth', 'Mehdi Dehbi', 'Sammy Sheik']",[],"['Drama', 'Thriller']",English
Breeders,2020,18+,7.1,83%,False,True,False,False,True,2020,"['Martin Freeman', 'Daisy Haggard', 'Michael McKean']","['Martin Freeman', 'Simon Blackwell', 'Chris Addison', 'Jon Thoday', 'Richard Allen-Turner', 'Rob Aslett', 'Ben Palmer', 'Michael Wiggs', 'David Martin']","['Drama', 'Comedy', 'Family']",English
Ben 10,2005,7+,7.2,,False,True,False,False,True,2000,"['Tara Strong', 'Montserrat Hernandez', 'David Kaye', 'Tara Strong']",[],"['Action', 'Adventure', 'Science-Fiction']",English
Alfred Hitchcock Presents,1955,16+,8.5,,False,True,False,False,True,1950,['Alfred Hitchcock'],['Alfred Hitchcock'],"['Drama', 'Crime', 'Mystery']",English
Solar Opposites,2020,18+,8.2,,False,True,False,False,True,2020,"['Thomas Middleditch', 'Justin Roiland', 'Sean Giambrone', 'Mary Mack']","['Dominic Dierkes', 'Matt McKenna', 'Josh Bycel', 'Justin Roiland', 'Mike McMahan', 'Richard Grieve', ""Jen D'Angelo"", 'Danielle Uhlarik', 'Rick Mischel']","['Comedy', 'Science-Fiction']",English
Everything's Gonna Be Okay,2020,16+,7.0,94%,False,True,False,False,True,2020,"['Josh Thomas', 'Kayla Cromer', 'Adam Faison', 'Maeve Press']","['Jon Thoday', 'Richard Allen-Turner', 'Josh Thomas', 'Kevin Whyte', 'Jess Meyer', 'Stephanie Swedlove', 'David Martin']","['Drama', 'Comedy', 'Romance']",English
Roswell,1999,16+,7.5,,False,True,False,False,True,1990,"['Shiri Appleby', 'Jason Behr', 'Brendan Fehr', 'Katherine Heigl', 'Majandra Delfino', 'Nick Wechsler', 'William Sadler', 'Colin Hanks', 'Emilie de Ravin', 'Adam Rodriguez', 'Colin Hanks', 'Nick Wechsler', 'William Sadler']","['Thania St. John', 'Jonathan Frakes', 'Ronald D. Moore', 'Jason Katims', 'Lisa J. Olin', 'Kevin Kelly Brown']","['Drama', 'Romance', 'Science-Fiction']",English
Casual,2015,16+,7.5,92%,False,True,False,False,True,2010,"['Michaela Watkins', 'Tommy Dewey', 'Tara Lynne Barr', 'Nyasha Hatendi', 'Julie Berman', 'Frances Conroy']","['Liz Tigelaar', 'Halsted Sullivan', 'Zander Lehmann', 'Jason Reitman', 'Helen Estabrook']",['Comedy'],English
Psycho-Pass,2012,16+,8.2,,False,True,True,False,True,2010,"['Akira Ishida', 'Kana Hanazawa', 'Katsumi Chou', 'Kenji Nojima', 'Kinryu Arimoto', 'Miyuki Sawashiro', 'Tomokazu Seki']",[],"['Action', 'Anime', 'Crime', 'Science-Fiction']",Japanese
Boruto: Naruto Next Generations,2017,16+,7.1,,False,True,False,False,True,2010,"['Kokoro Kikuchi', 'Yuko Sanpei', 'Junko Takeuchi', 'Ryuichi Kijima', 'Atsushi Abe', 'Kensho Ono', 'Nana Mizuki', 'Ryoko Shiraishi', 'Shinji Kawada', 'Showtaro Morikubo', 'Chihiro Ikki', 'Hidenori Takahashi', 'Aya Endo', 'Ryō Nishitani', 'Shinya Hamazoe']",[],"['Action', 'Adventure', 'Anime']",Japanese
Battlestar Galactica,1978,7+,7.2,33%,False,True,False,False,True,1970,[],"['Sam Esmail', 'Chad Hamilton', 'Michael Lesslie']","['Drama', 'Adventure', 'Science-Fiction']",English
Chance,2016,16+,7.7,75%,False,True,False,False,True,2010,"['Hugh Laurie', 'Ethan Suplee', 'Stefania Owen', 'Clarke Peters', 'Greta Lee', 'Gretchen Mol', 'Brian Goodman', 'Paul Adelstein', 'Paul Schneider', 'Lisa Gay Hamilton']","['Michael Lehmann', 'Kem Nunn', 'Nelson McCormick', 'Brian Grazer', 'Steve Kornacki', 'Hugh Laurie', 'Victoria Morrow', 'Jonas Pate', 'Alexandra Cunningham', 'Peter Elkoff', 'Michael London', 'Alyson Evans', 'Lenny Abrahamson']","['Drama', 'Thriller', 'Medical']",English
Shameless,2004,18+,8.0,,False,True,True,False,True,2000,"['William H. Macy', 'Steve Howey', 'Emma Kenney', 'Jeremy Allen White', 'Shanola Hampton', 'Ethan Cutkosky', 'Cameron Monaghan', 'Emmy Rossum', 'Christian Isaiah', 'Noel Fisher', 'Isidora Goreshter', 'Emma Greenwell', 'Laura Slade Wiggins', 'Kate Miner', 'Zach McGowan', 'Emily Bergl', 'Richard Flood', 'Jake McDorman']","['Mark Mylod', 'Mark Mylod', 'Krista Vernoff', 'John Wells', 'Paul Abbott', 'Davey Holmes', 'Davey Holmes', 'Michael Hissrich', 'Etan Frankel', 'Christopher Chulack']","['Drama', 'Comedy', 'Family']",English
Yu Yu Hakusho,1992,16+,8.4,100%,False,True,True,False,True,1990,[],[],[],[]
Jane Eyre,2006,7+,8.3,,False,True,False,False,True,2000,"['Sorcha Cusack', 'Michael Jayston']",[],['Drama'],English
Dexter's Laboratory,1996,all,7.9,,False,True,False,False,True,1990,"['Christine Cavanaugh', 'Candi Milo', 'Allison Moore', 'Kathryn Cressida', 'Jeff Bennett', 'Jeff Bennett', 'Kath Soucie', 'Kath Soucie', 'Kath Soucie', 'Kath Soucie', 'Eddie Deezen', 'Frank Welker', 'Frank Welker', 'Frank Welker', 'Rob Paulsen', 'Tom Kenny']","['Genndy Tartakovsky', 'Larry Huber', 'Buzz Potamkin', 'Sherry Gunther']","['Comedy', 'Adventure', 'Children']",English
WWE Raw,1993,7+,7.8,,False,True,False,False,True,1990,[],[],[],[]
Pretty Little Liars: The Perfectionists,2019,16+,7.1,100%,False,True,False,False,True,2010,"['Sasha Pieterse', 'Janel Parrish', 'Sofia Carson', 'Sydney Park', 'Eli Brown', 'Kelly Rutherford', 'Hayley Erin', 'Graeme Thomas King']","['Gina Girolamo', 'Leslie Morgenstein', 'I. Marlene King']","['Drama', 'Romance']",English
Greek,2007,16+,7.5,75%,False,True,False,False,True,2000,[],[],[],[]
Flashpoint,2008,16+,7.7,,False,True,True,False,True,2000,"['Enrico Colantoni', 'Hugh Dillon', 'Amy Jo Johnson', 'David Paetkau', 'Sergio Di Zio', 'Wendy Adeliyi', 'Michael Cram', 'Clé Bennett', 'Mark Taylor', 'Ruth Marshall']","['Melissa R. Byer', 'Treena Hancock', 'Tassie Cameron', 'Adam Barken', 'R.B. Carney', 'Stephanie Morgenstern', 'Stephanie Morgenstern', 'Anne Marie La Traverse', 'Bill Mustos', 'Mark Ellis', 'Mark Ellis']","['Action', 'Adventure', 'Crime']",English
The Wrong Mans,2013,18+,7.8,95%,False,True,False,False,True,2010,"['Ben Schwartz', 'Jillian Bell', 'Annie Chang']","['J.J. Abrams', 'Ian Maxtone-Graham', 'James Corden', 'Jim Field Smith', 'Ben Stephenson', 'Angie Stephenson']","['Comedy', 'Action']",English
Legends,2014,16+,7.5,56%,False,True,False,False,True,2010,"['Sean Bean', 'Morris Chestnut', 'Tina Majorino', 'Steve Kazee', 'Winter Ave Zoli', 'Klára Issová', 'Aisling Franciosi', 'Kelly Overton', 'Ralph Brown', 'Ali Larter', 'Amber Valletta', 'Steve Harris', 'Mason Cook']","['David Semel', 'Brad Turner', 'Alexander Cary', 'Howard Gordon', 'Jonathan Levin', 'David Wilcox', 'Cyrus Voris', 'Ethan Reiff', 'Vahan Moosekian', 'Josh Pate']","['Drama', 'Crime', 'Thriller']",English
Black Clover,2017,16+,8.0,,False,True,False,False,True,2010,[],[],"['Action', 'Anime', 'Fantasy']",Japanese
Shrill,2019,18+,7.4,87%,False,True,False,False,True,2010,"['Aidy Bryant', 'Lolly Adefope', 'Luka Jones', 'Ian Owens', 'John Cameron Mitchell', 'Patti Harrison']","['Jesse Peretz', 'Elizabeth Banks', 'Lorne Michaels', 'Craig DiGregorio', 'Dave King', 'Alexandra Rushfield', 'Andrew Singer', 'Aidy Bryant', 'Max Handelman']",['Comedy'],English
Underground,2016,18+,7.7,96%,False,True,False,False,True,2010,[],[],[],[]
The Path,2016,18+,7.3,77%,False,True,False,False,True,2010,"['Emma Greenwell', 'Hugh Dancy', 'Aaron Paul', 'Michelle Monaghan', 'Kyle Allen', 'Paul James', 'Rockmond Dunbar', 'Freida Pinto', 'Amy Forsyth', 'Sarah Jones']","['Coleman Herbert', 'Jason Katims', 'Jessica Goldberg', 'Julia Brownell', 'Annie Weisman', 'Mike Cahill', 'Michael Weaver', 'Michelle Lee']","['Drama', 'Thriller', 'Mystery']",English
Lodge 49,2018,16+,7.5,93%,False,True,False,False,True,2010,"['Wyatt Russell', 'Sonya Cassidy', 'Brent Jennings', 'Linda Emond', 'David Pasquesi', 'Eric Allan Kramer']","['Bradley Paul', 'Randall Einhorn', 'Brad Caleb Kane', 'Peter Ocko', 'Jeff Freilich', 'Paul Giamatti', 'Dan Carey', 'Jim Gavin', 'Nina Jack']","['Drama', 'Comedy']",English
King of the Hill,1997,7+,7.3,,False,True,False,False,True,1990,"['Mike Judge', 'Kathy Najimy', 'Johnny Hardwick', 'Brittany Murphy', 'Pamela Adlon', 'Stephen Root', 'Mike Judge', 'Breckin Meyer', 'Brittany Murphy', 'Toby Huss', 'Ashley Gardner', 'Lauren Tom', 'Stephen Root', 'Lauren Tom', 'Toby Huss', 'Mike Judge', 'Jonathan Joss', 'Toby Huss', 'Pamela Adlon', 'Ashley Gardner', 'Mike Judge']","['Norm Hiscock', 'Norm Hiscock', 'Jonathan Collier', 'Howard Klein', 'Brad Walsh', 'Paul Corrigan', 'David Zuckerman', 'Jim Dauterive', 'Gregory Thompson', 'Kit Boss', 'Kit Boss', 'Aron Abrams', 'Dan Sterling', 'Mike Judge', 'Greg Daniels', 'Joseph A. Boucher', 'Malisa Caroselli', 'Brent Forrester', 'Jonathan Aibel', 'John Altschuler', 'Dave Krinsky', 'Michael Rotenberg', 'Greg Cohen', 'Michael Jamin', 'Sivert Glarum', 'Christy Stratton', 'Tony Gama-Lobo', 'Rebecca May', 'Cheryl Holliday', 'Alex Gregory', 'Etan Cohen', 'Dan McGrath', 'Garland Testa', 'Garland Testa', 'Peter Huyck', 'Dave Schiff']",['Comedy'],English
Deadliest Catch,2005,7+,7.8,,False,True,False,False,True,2000,"['Mike Rowe', 'Bill Wichrowski', 'Sig Hansen', 'Keith Coulburn', 'Johnathan Hillstrand', 'Sean Dwyer', 'Jake Anderson', 'Andy Hillstrand', 'Elliott Neese', 'Scott Campbell Jr.', 'Phil Harris', 'Josh Harris', 'Casey McManus']","['Thom Beers', 'David McKillop', 'Brian Catalina', 'Tracy Green', 'Jeff Conroy']","['Action', 'Adventure', 'Nature']",English
Angie Tribeca,2016,16+,7.0,96%,False,True,False,False,True,2010,"['Rashida Jones', 'Andrée Vermeulen', 'Jere Burns', 'Deon Cole', 'Hayes MacArthur', 'Kiersey Clemons']","['Ira Ungerleider', 'Mathew Harawitz', 'Campbell Smith', 'Thom Hinkle', 'Jason Belleville', 'Steve Carell', 'Paul F. Bernard', 'Marisa Pinson', 'Nancy Carell', 'Brennan Shroff']","['Comedy', 'Crime']",English
Prodigal Son,2019,16+,8.2,54%,False,True,False,False,True,2010,"['Tom Payne', 'Bellamy Young', 'Lou Diamond Phillips', 'Aurora Perrineau', 'Michael Sheen', 'Frank Harts', 'Keiko Agena', 'Halston Sage']","['Greg Berlanti', 'Sarah Schechter', 'Adam Kane', 'Chris Fedak', 'Lilla Zuckerman', 'Nora Zuckerman', 'Lisa Randolph', 'Lee Toland Krieger', 'Sam Sklaver']","['Drama', 'Crime']",English
Single Parents,2018,7+,7.0,75%,False,True,False,False,True,2010,"['Taran Killam', 'Leighton Meester', 'Brad Garrett', 'Jake Choi', 'Kimrie Lewis', 'Devin Trey Campbell', 'Mia Allan', 'Ella Allan', 'Marlow Barkley', 'Tyler Wladis']","['Elizabeth Meriwether', 'Katherine Pope', 'J.J. Philbin', 'Jason Winer']","['Comedy', 'Family']",English
S.W.A.T.,2017,16+,7.0,,False,True,False,False,True,2010,"['Lina Esco', 'Shemar Moore', 'Jay Harrington', 'Alex Russell', 'David Lim', 'Kenny Johnson', 'Patrick St. Esprit', 'Stephanie Sigman', 'Peter Onorati', 'Amy Farrington']","['Bill Gierhart', 'Bill Gierhart', 'Aaron Rahsaan Thomas', 'Sam Humphrey', 'Michael Jones-Morales', 'Michael Jones-Morales', 'Craig Gore', 'Craig Gore', 'Pavun Shetty', 'V.J. Boyd', 'Justin Lin', 'Shawn Ryan', 'Marney Hochman', 'Alison Cross', 'Alison Cross', 'Neal H. Moritz', 'Danielle Woodrow', 'Andrew Dettmann', 'Paul Bernard', 'Paul Bernard']","['Drama', 'Action', 'Crime']",English
Doc Martin,2004,7+,8.3,,False,True,False,False,True,2000,"['Ian McNeice', 'Martin Clunes', 'Caroline Catz', 'Joe Absolom', 'Selina Cadell', 'Felicity Montagu', 'Eileen Atkins', 'John Marquez', 'Jessica Ransom', 'Stewart Wright', 'Katherine Parkinson', 'Lucy Punch', 'Stephanie Cole', 'Claire Bloom', 'Annabelle Apsion', 'Felix Scott', 'Vincent Franklin', 'Louise Jameson', 'Julie Graham', 'Lia Williams', 'Jeff Rawle', 'Joseph Morgan', ""Kurtis O'Brien"", 'Mary Woodvine', 'Vicki Pepperdine', 'Finlay Robertson', 'Angeline Ball', 'Tristan Sturrock', 'Rupert Young']",[],"['Drama', 'Comedy', 'Medical']",English
Trust,2018,18+,7.5,78%,False,True,False,False,True,2010,"['Harris Dickinson', 'Donald Sutherland', 'Hilary Swank', 'Brendan Fraser', 'Anna Chancellor', 'Silas Carson', 'Luca Marinelli', 'Michael Esper', 'Hannah New', 'Mauro Lamanna', 'Francesco Colella', 'Amanda Drew', 'Sophie Winkleman', 'Charlotte Riley', 'Niccolò Senni', 'Jo Stone-Fewings', 'David Bamber', 'Laura Bellini', 'Sarah Bellini', 'Nicola Rignanese', 'Verónica Echegui', 'Andrea Arcangeli', 'Giuseppe Battiston', 'Nicola Di Pinto', ""Giovanni D'Aleo"", 'Donatella Finocchiaro', 'Aurora Quattrocchi']","['Danny Boyle', 'Simon Beaufoy', 'Christian Colson']","['Drama', 'Crime']",English
The Fairly OddParents,2001,all,7.2,,False,True,False,False,True,2000,[],[],[],English
The Glades,2010,16+,7.5,59%,False,True,False,False,True,2010,"['Matt Passmore', 'Kiele Sanchez', 'Carlos Gómez', 'Jordan Wall', 'Michelle Hurd', 'Uriah Shelton']","['Clifton Campbell', 'Gary A. Randall', 'Lori Etta Taub', 'Elle Johnson']","['Drama', 'Action', 'Crime']",English
